,Feature,Importance
0,disk_capacity,26.31506541559488
7,business_type,14.440091235935276
1,vm_cpu,14.200025481415482
6,volume_type,12.75531187830555
5,disk_type,12.381980789866084
2,vm_memory,11.878636810963984
3,disk_if_VIP,8.028888387918746
4,ins_type,0.0
