params,mean_test_score,rank_test_score
"{'bagging_temperature': np.float64(0.6703854583544122), 'depth': 11, 'iterations': 2994, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.14655842782536851), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 1}",-1.5081992251302776,25
"{'bagging_temperature': np.float64(0.5479718832480873), 'depth': 8, 'iterations': 3504, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.11212854774298901), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 10}",-1.5084925485195568,26
"{'bagging_temperature': np.float64(0.39931591580930814), 'depth': 11, 'iterations': 1629, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.09101093685127504), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 2}",-1.5089108018099688,27
"{'bagging_temperature': np.float64(0.5270414639116516), 'depth': 10, 'iterations': 2508, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.03362442748432367), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 5}",-1.5093024669226451,28
"{'bagging_temperature': np.float64(0.0025950243836465603), 'depth': 7, 'iterations': 2280, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.09408238141372917), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 5}",-1.5104511783200596,29
"{'bagging_temperature': np.float64(0.5956387406078443), 'depth': 11, 'iterations': 3038, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.028437281645899343), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 2}",-1.5113267043054068,30
"{'bagging_temperature': np.float64(0.09170414725848108), 'depth': 12, 'iterations': 3995, 'l2_leaf_reg': 11, 'learning_rate': np.float64(0.018913215558306867), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 10}",-1.51183451249142,31
"{'bagging_temperature': np.float64(0.6070940360887808), 'depth': 14, 'iterations': 1649, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.032253765652822806), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 2}",-1.5128943231697696,32
"{'bagging_temperature': np.float64(0.45924889196586716), 'depth': 8, 'iterations': 3919, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.07027897634919636), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 10}",-1.5129302830782625,33
"{'bagging_temperature': np.float64(0.8887480798689772), 'depth': 12, 'iterations': 3785, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.11303285447367498), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 5}",-1.513782782633343,34
"{'bagging_temperature': np.float64(0.7247667715287615), 'depth': 10, 'iterations': 3544, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.10684508667808994), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 2}",-1.5141120963619532,35
"{'bagging_temperature': np.float64(0.7965372909761763), 'depth': 12, 'iterations': 3781, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.01455025051340813), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 10}",-1.514984492425274,36
"{'bagging_temperature': np.float64(0.01530454029038475), 'depth': 6, 'iterations': 3489, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.05032064965557853), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 10}",-1.515357400231671,37
"{'bagging_temperature': np.float64(0.7243388171287412), 'depth': 13, 'iterations': 3335, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.1012057863808806), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 10}",-1.5163087447824002,38
"{'bagging_temperature': np.float64(0.5209579772720422), 'depth': 9, 'iterations': 3453, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.10594589165695376), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 10}",-1.5178123162347628,39
"{'bagging_temperature': np.float64(0.07128027005516391), 'depth': 12, 'iterations': 2827, 'l2_leaf_reg': 11, 'learning_rate': np.float64(0.031223985508760835), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 2}",-1.5181518568269998,40
