,params
161,"{'bagging_temperature': np.float64(0.5124576558819216), 'depth': 12, 'iterations': 3599, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.06670742330925997), 'loss_function': 'Huber', 'one_hot_max_size': 2, 'random_strength': 2}"
146,"{'bagging_temperature': np.float64(0.5805883502780435), 'depth': 9, 'iterations': 3713, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.07299313627178473), 'loss_function': 'Huber', 'one_hot_max_size': 2, 'random_strength': 10}"
144,"{'bagging_temperature': np.float64(0.48083697808907355), 'depth': 14, 'iterations': 3687, 'l2_leaf_reg': 11, 'learning_rate': np.float64(0.011034038710328584), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 2}"
141,"{'bagging_temperature': np.float64(0.8388980864459341), 'depth': 9, 'iterations': 3872, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.13544446439889607), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 10}"
139,"{'bagging_temperature': np.float64(0.7072386343133986), 'depth': 13, 'iterations': 1603, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.012293314436025557), 'loss_function': 'Huber', 'one_hot_max_size': 2, 'random_strength': 2}"
228,"{'bagging_temperature': np.float64(0.24710323401014644), 'depth': 12, 'iterations': 2324, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.01928430417266465), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 10}"
220,"{'bagging_temperature': np.float64(0.10493017841817487), 'depth': 4, 'iterations': 3635, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.055304934404529084), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 2}"
219,"{'bagging_temperature': np.float64(0.6569838575644931), 'depth': 12, 'iterations': 3848, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.15173972692355714), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 5}"
149,"{'bagging_temperature': np.float64(0.03654966784809488), 'depth': 11, 'iterations': 3065, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.10209034977919021), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 2}"
218,"{'bagging_temperature': np.float64(0.14958064266756577), 'depth': 8, 'iterations': 1273, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.04211286809666866), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 10}"
217,"{'bagging_temperature': np.float64(0.4915945467414369), 'depth': 9, 'iterations': 2013, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.02238558703955943), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 1}"
