params,mean_test_score,rank_test_score
"{'alpha': np.float64(0.6150402490141725), 'colsample_bytree': np.float64(0.7208242007339181), 'learning_rate': np.float64(0.04479911202655147), 'max_depth': 8, 'min_child_samples': 79, 'n_estimators': 2954, 'num_leaves': 78, 'objective': 'regression', 'reg_alpha': np.float64(0.7368737449441821), 'reg_lambda': np.float64(0.8627970775432285), 'subsample': np.float64(0.6866959200363103), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.1765716444161294)}",-1.5146428052021643,14
"{'alpha': np.float64(0.9249366357310235), 'colsample_bytree': np.float64(0.6408774478774876), 'learning_rate': np.float64(0.06461339241151035), 'max_depth': 11, 'min_child_samples': 48, 'n_estimators': 2254, 'num_leaves': 84, 'objective': 'tweedie', 'reg_alpha': np.float64(0.8399471646724719), 'reg_lambda': np.float64(0.7728227800168045), 'subsample': np.float64(0.6920214732125736), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.2050681011275026)}",-1.5164304427148647,15
"{'alpha': np.float64(0.733135444807467), 'colsample_bytree': np.float64(0.7194902294355092), 'learning_rate': np.float64(0.08371859255394921), 'max_depth': 14, 'min_child_samples': 54, 'n_estimators': 971, 'num_leaves': 78, 'objective': 'poisson', 'reg_alpha': np.float64(0.46173281361238216), 'reg_lambda': np.float64(0.48090600075306966), 'subsample': np.float64(0.7740721597021427), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.8498826353726918)}",-1.5200275032695054,16
"{'alpha': np.float64(0.8238442174747387), 'colsample_bytree': np.float64(0.7484646459142967), 'learning_rate': np.float64(0.06769521724858242), 'max_depth': 10, 'min_child_samples': 119, 'n_estimators': 2718, 'num_leaves': 96, 'objective': 'poisson', 'reg_alpha': np.float64(0.03593867492155334), 'reg_lambda': np.float64(0.39473435384482813), 'subsample': np.float64(0.972322918926596), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.200579415193781)}",-1.5218895419902223,17
"{'alpha': np.float64(0.8850817665076038), 'colsample_bytree': np.float64(0.690871822809406), 'learning_rate': np.float64(0.06137416773005614), 'max_depth': 11, 'min_child_samples': 147, 'n_estimators': 2288, 'num_leaves': 76, 'objective': 'tweedie', 'reg_alpha': np.float64(0.866386514251342), 'reg_lambda': np.float64(0.21552986879133185), 'subsample': np.float64(0.744151127972139), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.1548043253015838)}",-1.5241822479440197,18
"{'alpha': np.float64(0.9414443201732083), 'colsample_bytree': np.float64(0.7933629743892586), 'learning_rate': np.float64(0.06644636596344311), 'max_depth': 11, 'min_child_samples': 121, 'n_estimators': 1660, 'num_leaves': 91, 'objective': 'tweedie', 'reg_alpha': np.float64(0.8275189221063031), 'reg_lambda': np.float64(0.7645277946547177), 'subsample': np.float64(0.8294115805822293), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.8648377148895467)}",-1.5269409235883915,19
"{'alpha': np.float64(0.7552904988330066), 'colsample_bytree': np.float64(0.7026251134805455), 'learning_rate': np.float64(0.08948840194310799), 'max_depth': 8, 'min_child_samples': 137, 'n_estimators': 1848, 'num_leaves': 63, 'objective': 'regression', 'reg_alpha': np.float64(0.3735096830383876), 'reg_lambda': np.float64(0.526499194153781), 'subsample': np.float64(0.6449217377644877), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.102067211875986)}",-1.528396027387346,20
"{'alpha': np.float64(0.8114726037623594), 'colsample_bytree': np.float64(0.6249167192520251), 'learning_rate': np.float64(0.02300082816822386), 'max_depth': 11, 'min_child_samples': 59, 'n_estimators': 2882, 'num_leaves': 110, 'objective': 'tweedie', 'reg_alpha': np.float64(0.30625362078661167), 'reg_lambda': np.float64(0.6238958362916385), 'subsample': np.float64(0.8108165855646606), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.4408667071122974)}",-1.528637113933952,21
"{'alpha': np.float64(0.8074664436468182), 'colsample_bytree': np.float64(0.63045234379612), 'learning_rate': np.float64(0.06403475202137335), 'max_depth': 12, 'min_child_samples': 64, 'n_estimators': 2321, 'num_leaves': 71, 'objective': 'poisson', 'reg_alpha': np.float64(0.90651371944458), 'reg_lambda': np.float64(0.5713189419195741), 'subsample': np.float64(0.8648448040426258), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.5350231263979195)}",-1.528813507631186,22
"{'alpha': np.float64(0.6096782671359539), 'colsample_bytree': np.float64(0.707040319544683), 'learning_rate': np.float64(0.013667583312820478), 'max_depth': 12, 'min_child_samples': 91, 'n_estimators': 2460, 'num_leaves': 146, 'objective': 'regression', 'reg_alpha': np.float64(0.42894433343014426), 'reg_lambda': np.float64(0.5409050038380808), 'subsample': np.float64(0.8785719228144429), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.6617168769454636)}",-1.5302741764123855,23
