,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_loss_function,param_one_hot_max_size,param_random_strength,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.10149316787719727,0.029157854287408132,0.0,0.0,0.3745401188473625,14,2095,5,0.015958237752949748,Huber,20,5,"{'bagging_temperature': np.float64(0.3745401188473625), 'depth': 14, 'iterations': 2095, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.015958237752949748), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 5}",,,,,,,,215
1,29.284843540191652,2.150225849585155,0.04052824974060058,0.005035775049226083,0.45924889196586716,8,3919,8,0.07027897634919636,RMSE,10,10,"{'bagging_temperature': np.float64(0.45924889196586716), 'depth': 8, 'iterations': 3919, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.07027897634919636), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 10}",-1.4610391307789476,-1.503710259707051,-1.5216082558339785,-1.5225916361108962,-1.5557021329604395,-1.5129302830782625,0.03090560018452962,33
2,31.221631860733034,0.8468645483831172,0.029911279678344727,0.003018915808921751,0.8324426408004217,9,3433,5,0.06358606736176979,MAE,10,1,"{'bagging_temperature': np.float64(0.8324426408004217), 'depth': 9, 'iterations': 3433, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.06358606736176979), 'loss_function': 'MAE', 'one_hot_max_size': 10, 'random_strength': 1}",-1.5294055751623692,-1.5764600234597035,-1.5810806347300377,-1.564558215971643,-1.6268307088054992,-1.5756670316258503,0.03134066347901164,107
3,0.07311034202575684,0.020958002333594322,0.0,0.0,0.43194501864211576,4,1474,11,0.03313073862781126,Huber,10,2,"{'bagging_temperature': np.float64(0.43194501864211576), 'depth': 4, 'iterations': 1474, 'l2_leaf_reg': 11, 'learning_rate': np.float64(0.03313073862781126), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 2}",,,,,,,,215
4,16.162146663665773,0.3212224116027797,0.030251312255859374,0.003923821722137705,0.7851759613930136,6,2899,7,0.19020103466213772,RMSE,20,1,"{'bagging_temperature': np.float64(0.7851759613930136), 'depth': 6, 'iterations': 2899, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.19020103466213772), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 1}",-1.481293160092736,-1.5162348109268038,-1.552190317492512,-1.5451442589709676,-1.5869334052667539,-1.5363591905499547,0.03556068494049625,59
5,15.63044195175171,1.4073657584473287,0.027246713638305664,0.004574524700801416,0.6075448519014384,8,3888,7,0.010405384007798954,RMSE,50,2,"{'bagging_temperature': np.float64(0.6075448519014384), 'depth': 8, 'iterations': 3888, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.010405384007798954), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 2}",-1.5162413826680985,-1.5587972735747824,-1.590346168980333,-1.5739690848597103,-1.6302489624565473,-1.5739205745078944,0.03741201197029272,106
6,0.06537351608276368,0.02276194982401751,0.0,0.0,0.8083973481164611,12,3612,2,0.07766184280392888,Huber,50,5,"{'bagging_temperature': np.float64(0.8083973481164611), 'depth': 12, 'iterations': 3612, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.07766184280392888), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 5}",,,,,,,,215
7,13.041465950012206,0.15697268695779332,0.02285628318786621,0.003373036200120616,0.6099966577826209,11,1034,1,0.02171103454376615,MAE,10,2,"{'bagging_temperature': np.float64(0.6099966577826209), 'depth': 11, 'iterations': 1034, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.02171103454376615), 'loss_function': 'MAE', 'one_hot_max_size': 10, 'random_strength': 2}",-1.560685037714369,-1.612501055777714,-1.619996751049057,-1.5929035785036085,-1.6682270123751868,-1.610862687083987,0.03526218163945986,148
8,18.798199510574342,0.9263082347317071,0.026145267486572265,0.004979368789074527,0.20794166286818883,7,2500,2,0.10196967939171485,MAE,10,2,"{'bagging_temperature': np.float64(0.20794166286818883), 'depth': 7, 'iterations': 2500, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.10196967939171485), 'loss_function': 'MAE', 'one_hot_max_size': 10, 'random_strength': 2}",-1.5776286824604235,-1.6013621720836142,-1.6206202451194982,-1.6250707554057322,-1.685125732544332,-1.62196151752272,0.03575169290634959,153
9,23.712193107604982,0.9643022517321735,0.02727532386779785,0.003784644533118886,0.9266588657937942,11,2275,9,0.1780383803110714,RMSE,50,1,"{'bagging_temperature': np.float64(0.9266588657937942), 'depth': 11, 'iterations': 2275, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.1780383803110714), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 1}",-1.4066120940365319,-1.4676271602388251,-1.4785005225410714,-1.4858036690120817,-1.501752037423886,-1.4680590966504794,0.03266505221237932,4
10,14.861169624328614,0.9981289792058741,0.03548212051391601,0.0039740737543582875,0.2713490317738959,8,1791,10,0.18022959559673618,RMSE,2,1,"{'bagging_temperature': np.float64(0.2713490317738959), 'depth': 8, 'iterations': 1791, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.18022959559673618), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 1}",-1.4739117017342585,-1.5208656473422986,-1.5371695643314216,-1.5304755816554831,-1.5856284775341158,-1.5296101945195155,0.035706386550968784,50
11,0.05509200096130371,0.0024972103040922095,0.0,0.0,0.8021969807540397,4,3568,8,0.03264019163413773,Huber,20,5,"{'bagging_temperature': np.float64(0.8021969807540397), 'depth': 4, 'iterations': 3568, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.03264019163413773), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 5}",,,,,,,,215
12,9.590029859542847,0.39100075866118067,0.01878781318664551,0.002774290717563896,0.7068573438476171,6,1418,1,0.061428810158596955,MAE,20,2,"{'bagging_temperature': np.float64(0.7068573438476171), 'depth': 6, 'iterations': 1418, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.061428810158596955), 'loss_function': 'MAE', 'one_hot_max_size': 20, 'random_strength': 2}",-1.6587276384885394,-1.6872614623972295,-1.7081938798924614,-1.7007363807473401,-1.791657547278742,-1.7093153817608624,0.04449850418989113,191
13,7.612973260879516,0.37006720222841766,0.025560617446899414,0.006469167419709122,0.11586905952512971,10,1200,8,0.03843694025082197,RMSE,50,5,"{'bagging_temperature': np.float64(0.11586905952512971), 'depth': 10, 'iterations': 1200, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.03843694025082197), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 5}",-1.4711727149370306,-1.5174875431569672,-1.5443568726471384,-1.525801015213168,-1.574793829982011,-1.526722395187263,0.03404037616563525,49
