params,mean_test_score,rank_test_score
"{'colsample_bytree': np.float64(0.8287489084908746), 'learning_rate': np.float64(0.03691276859662196), 'max_depth': 12, 'min_child_weight': 59, 'n_estimators': 2294, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.700251959444521), 'reg_lambda': np.float64(0.585810145971902), 'subsample': np.float64(0.8345916368754828), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.65813650201606)}",-1.4880847883016584,15
"{'colsample_bytree': np.float64(0.7493237265119012), 'learning_rate': np.float64(0.012557197232114115), 'max_depth': 16, 'min_child_weight': 171, 'n_estimators': 2634, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.15615259736619036), 'reg_lambda': np.float64(0.7159722288473975), 'subsample': np.float64(0.8635695767640605), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.121676794002787)}",-1.489596887451771,16
"{'colsample_bytree': np.float64(0.8181727477627622), 'learning_rate': np.float64(0.006179522710074302), 'max_depth': 10, 'min_child_weight': 47, 'n_estimators': 2479, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.45923987759695806), 'reg_lambda': np.float64(0.05195657755426841), 'subsample': np.float64(0.9145112797536132), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.2610910257087795)}",-1.4900787263203152,17
"{'colsample_bytree': np.float64(0.9742539976883791), 'learning_rate': np.float64(0.0722792058634005), 'max_depth': 10, 'min_child_weight': 93, 'n_estimators': 753, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.3722827665617431), 'reg_lambda': np.float64(0.9401334424577784), 'subsample': np.float64(0.989465534702127), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.3271367797899727)}",-1.4917301129966805,18
"{'colsample_bytree': np.float64(0.6556786805382782), 'learning_rate': np.float64(0.022640002178626877), 'max_depth': 17, 'min_child_weight': 107, 'n_estimators': 2686, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.7823883294600873), 'reg_lambda': np.float64(0.7345779231214132), 'subsample': np.float64(0.7201957542401729), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.36065849405156)}",-1.4918469787077364,19
"{'colsample_bytree': np.float64(0.632341330533086), 'learning_rate': np.float64(0.01757901182525916), 'max_depth': 19, 'min_child_weight': 47, 'n_estimators': 2827, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.6323058305935795), 'reg_lambda': np.float64(0.6335297107608947), 'subsample': np.float64(0.8143098736299034), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.1722318160435268)}",-1.4937563693060487,20
"{'colsample_bytree': np.float64(0.6328828254847126), 'learning_rate': np.float64(0.11070053913636653), 'max_depth': 16, 'min_child_weight': 56, 'n_estimators': 1026, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.3408156997898466), 'reg_lambda': np.float64(0.16482467534676204), 'subsample': np.float64(0.668232764622836), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.858486656137154)}",-1.4946198803969577,21
"{'colsample_bytree': np.float64(0.8297892452719647), 'learning_rate': np.float64(0.08758972913510514), 'max_depth': 10, 'min_child_weight': 20, 'n_estimators': 1372, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.20162732004774453), 'reg_lambda': np.float64(0.1636559428657045), 'subsample': np.float64(0.6657063191723972), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.7516597761851058)}",-1.4948344817317405,22
"{'colsample_bytree': np.float64(0.909168592750446), 'learning_rate': np.float64(0.02944336727260247), 'max_depth': 14, 'min_child_weight': 36, 'n_estimators': 2205, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.3825803235706354), 'reg_lambda': np.float64(0.3677336508051099), 'subsample': np.float64(0.6726956762837851), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.4484061003777526)}",-1.495592648392862,23
"{'colsample_bytree': np.float64(0.7186142325150621), 'learning_rate': np.float64(0.016425707233576035), 'max_depth': 17, 'min_child_weight': 144, 'n_estimators': 1062, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.4121309302627716), 'reg_lambda': np.float64(0.5496160437189245), 'subsample': np.float64(0.932213782561936), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.1549702660146144)}",-1.496103331522333,24
