,disk_ID,disk_capacity,timestamp_num,avg_bandwidth,peak_bandwidth,cluster_index,pre_bandwidth
0,ec494bec-6f05-41c0-aaca-ef7a8ad67da8,100,2016.0,13411.857638888889,32340.0,400,69094.33088660422
1,e48fbaf3-9a24-40ea-8c37-f87d41fae170,500,2016.0,484279.8968253968,41949160.0,400,69094.33088660422
2,1cdb6085-38cd-4dcf-9294-93f7d75dadc5,100,2016.0,8539.233134920634,28862.0,400,69094.33088660422
3,2285df35-06b4-485f-8062-cd32cc39e560,100,2016.0,18650.22172619048,2843302.0,400,69094.33088660422
4,3cb157e4-a903-4f82-a276-62e4a414d489,2000,2016.0,4122247.469742064,26910775.0,400,69094.33088660422
5,50dd25b0-c252-43c2-8d58-3843cdec66d6,400,2016.0,309344.31696428574,11710538.0,400,69094.33088660422
6,a500d004-8a3f-48ad-9e96-246e6ea36037,500,2016.0,139083.2653769841,630605.0,400,69094.33088660422
7,ebc2c44c-e471-40a4-a325-3961daf05b4f,100,2016.0,17895.15873015873,1196035.0,400,69094.33088660422
8,ca31b103-5ff9-4e31-bf87-cab3aaad4f7f,500,2016.0,3220.895833333333,11745.0,400,69094.33088660422
9,6898bc4e-63ac-42c1-b327-14e011f51a23,50,2016.0,3153.6418650793653,28496.0,400,69094.33088660422
10,87976043-2155-42be-894b-72ac43de4858,100,2016.0,63709.70287698413,313844.0,400,69094.33088660422
11,00b2f447-6b03-4256-8fb0-ef65679a44d2,200,2016.0,9362.632936507936,19861.0,400,69094.33088660422
12,0310ed99-f2fc-4c1a-a708-abb9c98f75ac,200,2016.0,54181.33531746032,936556.0,400,69094.33088660422
13,0438218c-7697-4b9e-a384-c90e00b09b75,300,2016.0,92641.73561507936,820764.0,400,69094.33088660422
14,05937556-e2ca-41de-82a4-cd0998233003,80,2016.0,200577.98313492065,5205105.0,400,69094.33088660422
15,07a8528a-2b78-4f4b-ba36-ee1e04244ddd,100,2016.0,106954.62400793652,2600615.0,400,69094.33088660422
16,15ef342c-c358-4451-937f-40ac1f65b198,500,2016.0,1076490.330853175,30198507.0,400,69094.33088660422
17,1784154b-7f9e-42e7-ad6a-bca69f85ac27,300,2016.0,238176.6314484127,398696.0,400,69094.33088660422
18,179401bc-a069-4057-896a-47193df67ce1,1000,2016.0,2911608.3120039683,9420738.0,400,69094.33088660422
19,18b6c381-e22f-4bf4-9024-346916331bd9,50,2016.0,9042.572916666666,148979.0,400,69094.33088660422
20,198c0709-7c1d-41f5-b83d-5d45d1d41e54,500,2016.0,2985.00496031746,25909.0,400,69094.33088660422
21,1c8f306a-6988-4fbc-9e9b-35cf73b5b733,50,2016.0,400387.2212301588,504307.0,400,69094.33088660422
22,1fc74cec-21e6-40d6-94e7-e733ce391291,100,2016.0,19252.915674603173,81926.0,400,69094.33088660422
23,2158a354-2dcd-47c8-8c60-ce7b66d8db40,500,2016.0,29.949900793650794,434.0,400,69094.33088660422
24,21bca01a-daa3-4188-a4c7-d69423bb9d31,500,2016.0,8677.123015873016,95178.0,400,69094.33088660422
25,21e266d0-78d5-4fd4-89c7-bea3289984b9,200,2016.0,4.672123015873016,6.0,400,69094.33088660422
26,286c6811-2f01-412f-ac26-e3315d689313,1000,2016.0,2788195.34375,13130561.0,400,69094.33088660422
27,2b47ca31-395e-4280-bcd6-548a734bed93,200,2016.0,106670.45486111112,2439302.0,400,69094.33088660422
28,3009938a-5c04-4395-811f-d7b7b7028504,50,2016.0,9227.697916666666,95867.0,400,69094.33088660422
29,3140d05c-d04e-4b8c-9a60-876d9196df63,300,2016.0,6612.705853174603,137389.0,400,69094.33088660422
30,359d6737-7eb0-4592-a536-3ecb3cd0cba6,80,2016.0,2415.018353174604,90910.0,400,69094.33088660422
31,35b44cdc-acf0-46d3-885a-ca64d2fd5898,1370,2016.0,197.625496031746,244.0,400,69094.33088660422
