,disk_ID,disk_capacity,disk_if_local,disk_attr,disk_type,disk_if_VIP,disk_pay,vm_cpu,vm_mem,avg_rbw,avg_wbw,peak_rbw,peak_wbw,timestamp_num,burst_label,RBW_mul,WBW_mul,cluster_index,pre_burst_label,belong_to_cluster
24,c7f613c3-bfec-46fc-a103-5bdcb5d0b8e6,100,0,cbsPremium,0,1,prepay,32.0,64.0,77.41740519373454,56.25161445452047,252.0,1548.0,58224,0,3.255081972450229,27.519210159764583,1,0,0
25,18ca62d0-ecae-4eba-8514-16a2603c9b78,100,0,cbsPremium,0,1,prepay,16.0,32.0,69.06405494125778,53.51200760193504,206.0,3026.0,69456,1,2.982738273552178,56.548055952409776,1,0,0
26,96081355-3db4-44b6-97bf-8270aa6936d1,100,0,cbsPremium,0,1,prepay,16.0,32.0,67.32869245894055,53.437254221605365,728.0,3022.0,69168,1,10.812626436254654,56.552306888144095,1,0,0
27,9bc6ad5b-f178-41a4-93d9-df76522923ce,100,0,cbsPremium,0,1,prepay,32.0,64.0,60.428897849462366,46.75416666666667,270.0,708.0,37200,0,4.468060970971394,15.1430353800909,1,0,0
28,a219b216-4135-4dac-b713-405372f22927,100,0,cbsPremium,0,1,prepay,16.0,32.0,54.79565055974412,42.87157299520219,393.0,6701.0,70032,1,7.172102091780243,156.30403859335686,1,0,0
29,05dd6d62-8f2c-4855-9b00-15f3b2c88306,100,0,cbsPremium,0,1,prepay,32.0,64.0,77.16472588623247,56.1906430338005,465.0,1483.0,58224,0,6.026069485240847,26.392294516151512,1,0,0
30,6359a51b-8ca6-451d-992d-a830999bbafe,100,0,cbsPremium,0,1,prepay,32.0,64.0,69.78312570781426,48.0437429218573,363.0,2073.0,42384,1,5.201830619051097,43.148178595737534,1,0,0
31,f913b4f7-a501-44ac-a653-064e961eb945,100,0,cbsPremium,0,1,prepay,16.0,32.0,68.36430373938977,52.75421541637991,199.0,3050.0,69744,1,2.910875838926174,57.81528501422829,1,0,0
32,08cda8a9-da6b-4de4-a8f9-add78ac0cba9,100,0,cbsPremium,0,1,prepay,32.0,64.0,76.45252816707887,57.49287235504259,232.0,1488.0,58224,0,3.034562826921677,25.881469111700945,1,0,0
33,946a071c-ba29-45f9-9184-328938368e70,100,0,cbsPremium,0,1,prepay,32.0,64.0,71.82778878822197,49.18462155530389,275.0,1600.0,42384,1,3.828601779887917,32.530493259990564,1,0,0
34,b22a5724-c6d6-4eab-939d-8de9d90b03f8,100,0,cbsPremium,0,1,prepay,16.0,32.0,66.97709618460132,52.18391592414896,196.0,3016.0,70032,1,2.9263735092334784,57.79558598829293,1,0,0
35,8aa5a399-7c3e-41c8-a277-cb6e26bd51e6,100,0,cbsPremium,0,1,prepay,8.0,64.0,17.31900278940028,15.091701534170154,96.0,542.0,57360,1,5.543044317699096,35.91377677148072,1,0,0
36,28588ced-f78a-416c-a3d9-f719d683166f,100,0,cbsPremium,0,1,prepay,16.0,32.0,68.60811357853342,53.37871559102475,269.0,4542.0,69168,1,3.9208190689004248,85.09009536309834,1,0,0
37,35632026-bc98-40f1-8635-28fa04c556b8,100,0,cbsPremium,0,1,prepay,16.0,32.0,55.008038399259775,43.75667938931298,314.0,3543.0,69168,1,5.70825663189301,80.97049523518764,1,0,0
38,3437a010-a151-4478-b38e-5ae49b19fbfe,100,0,cbsPremium,0,1,prepay,16.0,32.0,54.79814941740919,43.16211160612291,630.0,3019.0,70032,1,11.49673860701309,69.94560478296269,1,0,0
39,330f8fa1-ee5d-4c21-80c5-b135e1ff56f7,100,0,cbsPremium,0,1,prepay,16.0,32.0,66.9647998394127,52.11899231475109,278.0,4501.0,69744,1,4.151434793603023,86.36007336477407,1,0,0
40,e62555ba-5f89-4672-a018-77c461afffe3,100,0,cbsPremium,0,1,prepay,32.0,64.0,77.37496564990381,57.38746908491344,388.0,4524.0,58224,1,5.0145418061388485,78.83254083406358,1,0,0
41,1f5f5c70-e02e-4148-90fb-14d3e650085d,100,0,cbsPremium,0,1,prepay,32.0,64.0,75.57429925803793,54.99388568287991,230.0,1503.0,58224,0,3.043362654474598,27.330311021610488,1,0,0
