,disk_capacity,vm_cpu,vm_memory,recent_history_bandwidth_memory,disk_if_VIP,ins_type,disk_type,volume_type,business_type
9739,50,8.0,16.0,7232.710813492064,0,CVM,root,cbsPremium,infra-node
19749,50,8.0,16.0,7897.4484126984125,1,CVM,root,cbsssd,data-collection-delivery
10574,50,16.0,64.0,3561.490575396825,1,CVM,root,cbsPremium,infra-node
9811,60,8.0,16.0,,1,CVM,root,cbsPremium,infra-node
22035,50,32.0,128.0,856.7281746031746,0,CVM,data,cbsHSSD,infra-database
3901,200,16.0,32.0,,1,CVM,root,cbsssd,compute-simulation
22763,50,8.0,16.0,6603.0307539682535,1,CVM,root,cbsPremium,infra-database
2043,100,2.0,8.0,,0,CVM,data,cbsPremium,local-service-delivery
13751,50,8.0,32.0,7054.828869047619,1,CVM,root,cbsPremium,infra-logging-monitoring
5187,50,32.0,128.0,66707.09970238095,0,CVM,root,cbsPremium,infra-node
19159,170,4.0,8.0,1120812.865575397,0,CVM,data,cbsssd,infra-message-queue
13427,100,4.0,8.0,,1,CVM,data,cbsPremium,game-service
19375,50,16.0,32.0,1968.308531746032,1,CVM,root,cbsssd,infra-node
13870,50,16.0,32.0,,1,CVM,root,cbsPremium,infra-node
15201,10,2.0,8.0,12045.087301587302,0,CVM,data,cbsPremium,infra-node
1812,100,2.0,8.0,,0,CVM,data,cbsBSSD,infra-database
1788,300,16.0,32.0,,1,CVM,data,cbsBSSD,infra-node
383,20,4.0,16.0,32.220238095238095,0,CVM,data,cbsHSSD,infra-database
23692,100,8.0,32.0,2362.140873015873,0,CVM,data,cbsHSSD,infra-database
313,100,2.0,4.0,,0,CVM,data,cbsssd,generic-unknown
23783,80,4.0,8.0,,1,CVM,root,cbsssd,dev-test-env
20503,200,4.0,8.0,,1,CVM,root,cbsssd,generic-autoscaling
7695,500,32.0,64.0,15230.273313492064,1,CVM,data,cbsPremium,ai-machine-learning
18907,50,4.0,16.0,27555.9503968254,0,CVM,root,cbsPremium,generic-autoscaling
5225,50,8.0,16.0,,1,CVM,root,cbsBSSD,iot-saas-platform
23979,300,8.0,32.0,2795.8551587301586,1,CVM,data,cbsssd,infra-database
11647,50,2.0,2.0,,1,CVM,root,cbsBSSD,infra-jumpbox
11947,500,4.0,8.0,6837.050595238095,1,CVM,data,cbsPremium,infra-node
5508,20,4.0,16.0,28870.93700396825,0,CVM,data,cbsHSSD,infra-database
17979,80,4.0,8.0,11383.821924603177,1,CVM,root,cbsPremium,iot-saas-platform
9701,100,16.0,64.0,,0,CVM,root,cbsPremium,ai-machine-learning
14137,100,4.0,8.0,68213.63492063493,1,CVM,root,cbsPremium,finance-payment
10274,500,4.0,16.0,,0,CVM,data,cbsPremium,generic-unknown
6698,50,4.0,16.0,8261.941468253968,0,CVM,root,cbsPremium,infra-database
3023,20,4.0,16.0,,0,CVM,data,cbsHSSD,infra-database
16041,50,16.0,64.0,,1,CVM,root,cbsPremium,game-service
12619,200,8.0,64.0,,1,CVM,data,cbsPremium,game-service
14322,50,16.0,64.0,7357.700892857143,1,CVM,root,cbsBSSD,infra-node
2554,100,2.0,8.0,,1,CVM,data,cbsPremium,compute-simulation
11376,50,8.0,16.0,92376.07341269842,1,CVM,root,cbsBSSD,media-video-streaming
1311,20,8.0,16.0,,1,CVM,data,cbsPremium,infra-node
6020,50,32.0,64.0,7557.769345238095,0,CVM,root,cbsPremium,media-video-streaming
18448,50,32.0,64.0,3281302.0257936507,1,CVM,root,cbsPremium,generic-unknown
9742,100,8.0,32.0,14204.770337301588,1,CVM,root,cbsPremium,media-video-streaming
5201,50,16.0,64.0,1052662.394345238,0,CVM,root,cbsssd,infra-database
6870,200,16.0,64.0,643.3963293650794,1,CVM,data,cbsPremium,infra-node
7341,500,32.0,64.0,,1,CVM,data,cbsBSSD,infra-node
10755,50,32.0,64.0,,1,CVM,root,cbsBSSD,infra-node
6165,200,24.0,48.0,,0,CVM,root,cbsssd,infra-coordination
11715,50,16.0,64.0,6182.114583333333,0,CVM,root,cbsPremium,generic-unknown
4702,200,84.0,320.0,253.8249007936508,1,CVM,data,cbsPremium,infra-node
2264,100,4.0,8.0,6.618551587301587,1,CVM,data,cbsssd,infra-logging-monitoring
7112,50,4.0,8.0,,0,CVM,root,cbsssd,infra-node
10597,50,32.0,128.0,,1,CVM,root,cbsPremium,infra-node
1182,10,32.0,128.0,378.2643849206349,1,CVM,data,cbsPremium,infra-node
18671,50,8.0,32.0,,1,CVM,root,cbsPremium,compute-simulation
4788,500,32.0,64.0,,1,CVM,data,cbsPremium,generic-autoscaling
21533,50,16.0,32.0,8404.082341269841,1,CVM,root,cbsPremium,data-collection-delivery
4560,100,4.0,4.0,0.0471230158730158,0,CVM,data,cbsPremium,generic-unknown
