,disk_capacity,vm_cpu,vm_memory,recent_history_bandwidth_memory,disk_if_VIP,ins_type,disk_type,volume_type,business_type
24007,100,8.0,32.0,71109.11805555556,0,CVM,data,cbsHSSD,infra-database
7536,500,8.0,32.0,,1,CVM,data,cbsPremium,infra-node
21429,380,8.0,16.0,1205957.200396825,0,CVM,data,cbsssd,infra-message-queue
14315,100,4.0,8.0,6424.081845238095,1,CVM,data,cbsPremium,game-service
24186,50,16.0,64.0,926958.0357142856,1,CVM,root,cbsPremium,infra-database
3993,30,16.0,64.0,,1,CVM,data,cbsPremium,infra-node
5038,100,4.0,8.0,6089.446428571428,1,CVM,root,cbsBSSD,infra-jumpbox
9051,5190,192.0,512.0,64344.54365079365,1,CVM,data,cbsPremium,infra-node
19885,50,4.0,16.0,,1,CVM,root,cbsPremium,infra-node
9038,200,8.0,32.0,,1,CVM,data,cbsHSSD,media-video-streaming
9401,100,84.0,320.0,3834.559027777778,1,CVM,root,cbsPremium,infra-node
4550,100,4.0,16.0,18992.334325396827,0,CVM,data,cbsPremium,infra-node
17525,500,8.0,32.0,5964.943948412699,1,CVM,data,cbsHSSD,media-video-streaming
22038,50,16.0,32.0,8108.849206349207,1,CVM,root,cbsPremium,data-collection-delivery
1122,10,8.0,64.0,13145.11607142857,1,CVM,data,cbsPremium,infra-node
943,1000,2.0,4.0,128.68303571428572,0,CVM,data,cbsssd,generic-unknown
2929,100,2.0,4.0,,1,CVM,data,cbsPremium,iot-saas-platform
520,90,2.0,8.0,62224.46329365079,0,CVM,data,cbsPremium,infra-message-queue
11933,50,2.0,4.0,3865.895337301588,1,CVM,root,cbsPremium,infra-node
23138,150,8.0,32.0,81391.9871031746,1,CVM,root,cbsPremium,game-service
18122,200,4.0,8.0,,1,CVM,data,cbsHSSD,community-social-forum
16495,200,16.0,32.0,29270.161706349205,1,CVM,data,cbsPremium,infra-node
3592,200,4.0,16.0,6768.801587301588,1,CVM,data,cbsBSSD,infra-node
23469,300,16.0,128.0,309.40625,1,CVM,root,cbsPremium,infra-node
12140,50,4.0,32.0,6477.472222222223,1,CVM,root,cbsBSSD,game-service
4745,50,2.0,8.0,,1,CVM,root,cbsssd,ai-machine-learning
23148,100,2.0,4.0,21999.418154761905,1,CVM,root,cbsPremium,generic-unknown
16145,50,2.0,4.0,,1,CVM,root,cbsPremium,compute-simulation
16196,50,16.0,32.0,10435.564484126984,1,CVM,root,cbsPremium,generic-autoscaling
10249,500,8.0,32.0,,1,CVM,data,cbsPremium,infra-database
1580,1000,2.0,4.0,,1,CVM,data,cbsPremium,infra-logging-monitoring
20123,50,8.0,32.0,118.52232142857144,1,CVM,root,cbsssd,infra-database
10533,50,16.0,64.0,6012.521825396825,1,CVM,root,cbsPremium,infra-node
23888,560,16.0,32.0,70105.00347222222,0,CVM,data,cbsPremium,infra-message-queue
8688,300,2.0,4.0,,1,CVM,root,cbsPremium,infra-coordination
21264,100,2.0,4.0,23464.516865079364,1,CVM,root,cbsPremium,generic-unknown
13967,100,4.0,8.0,465.5803571428572,1,CVM,data,cbsPremium,game-service
7428,50,16.0,64.0,,1,CVM,data,cbsssd,infra-logging-monitoring
9033,100,32.0,128.0,,1,CVM,root,cbsPremium,generic-autoscaling
199,10,16.0,128.0,7358.064980158731,1,CVM,data,cbsPremium,infra-node
2222,200,16.0,32.0,707.1577380952381,1,CVM,data,cbsPremium,infra-database
3068,1000,80.0,320.0,44389.82837301587,1,CVM,data,cbsPremium,infra-node
20088,500,4.0,4.0,11611.370535714286,0,CVM,data,cbsPremium,generic-unknown
1822,100,48.0,96.0,1233064.009424603,1,CVM,data,cbsPremium,infra-node
10076,80,4.0,8.0,,1,CVM,root,cbsPremium,media-video-streaming
19209,300,32.0,64.0,,1,CVM,data,cbsPremium,compute-simulation
1474,100,8.0,32.0,7182.005952380952,1,CVM,data,cbsPremium,infra-node
12639,50,2.0,4.0,,1,CVM,root,cbsPremium,infra-database
2851,50,32.0,64.0,,1,CVM,data,cbsHSSD,dev-test-env
18192,50,32.0,128.0,2419703.525297619,1,CVM,root,cbsPremium,infra-node
20437,50,8.0,16.0,,1,CVM,data,cbsPremium,community-social-forum
6417,200,8.0,16.0,,1,CVM,data,cbsHSSD,generic-unknown
14843,100,4.0,8.0,,1,CVM,data,cbsPremium,infra-database
23573,100,4.0,8.0,5981.56746031746,1,CVM,data,cbsPremium,gov-public-service
17468,500,8.0,16.0,149203.6875,1,CVM,data,cbsPremium,infra-message-queue
22986,1000,32.0,128.0,305909.3973214286,1,CVM,data,cbsPremium,game-service
16102,100,16.0,64.0,49237.02926587302,0,CVM,root,cbsPremium,generic-unknown
6077,50,4.0,8.0,,1,CVM,root,cbsPremium,dev-test-env
17498,500,8.0,16.0,,1,CVM,data,cbsssd,travel-hospitality
20346,500,32.0,64.0,5066.986607142857,1,CVM,data,cbsPremium,infra-node
22026,50,32.0,128.0,23020.415178571428,1,CVM,root,cbsPremium,compute-simulation
11057,50,2.0,4.0,,1,CVM,root,cbsPremium,game-service
5245,50,4.0,8.0,3058.0729166666665,1,CVM,root,cbsssd,infra-coordination
23617,50,8.0,16.0,,1,CVM,root,cbsssd,infra-node
13083,60,2.0,4.0,2311.5079365079364,1,CVM,root,cbsPremium,infra-jumpbox
20457,370,4.0,8.0,736.6230158730159,0,CVM,data,cbsPremium,infra-message-queue
15090,50,16.0,64.0,9490.75248015873,0,CVM,root,cbsPremium,media-video-streaming
21373,50,8.0,32.0,165950.94990079364,1,CVM,root,cbsPremium,infra-node
23524,200,4.0,8.0,,0,CVM,data,cbsssd,compute-simulation
3821,340,8.0,16.0,,0,CVM,data,cbsPremium,infra-message-queue
11742,100,8.0,32.0,24345.81051587301,1,CVM,root,cbsssd,infra-database
22484,300,32.0,64.0,,1,CVM,root,cbsBSSD,generic-autoscaling
1483,1000,48.0,192.0,3585.089285714286,1,CVM,data,cbsssd,infra-node
8700,500,32.0,128.0,4208.795634920635,1,CVM,data,cbsssd,infra-node
17377,80,4.0,8.0,42945.26190476191,1,CVM,root,cbsPremium,iot-saas-platform
1087,100,2.0,4.0,1267.7296626984128,1,CVM,data,cbsPremium,iot-saas-platform
8161,300,4.0,8.0,,1,CVM,data,cbsPremium,compute-simulation
3964,60,2.0,8.0,1050.1909722222222,0,CVM,data,cbsPremium,infra-message-queue
20365,500,64.0,256.0,,1,CVM,root,cbsPremium,logistics-mobility
16445,1000,4.0,4.0,36767.06994047619,0,CVM,data,cbsPremium,generic-unknown
1940,200,8.0,16.0,,1,CVM,data,cbsPremium,infra-node
4085,100,2.0,8.0,,1,CVM,data,cbsPremium,dev-test-env
6179,200,16.0,32.0,,1,CVM,data,cbsBSSD,infra-node
11316,50,32.0,128.0,9593.999007936509,1,CVM,root,cbsPremium,compute-simulation
19820,50,32.0,128.0,8269.35615079365,1,CVM,root,cbsssd,infra-node
6896,100,4.0,8.0,6193.011904761905,1,CVM,root,cbsssd,infra-cache
3302,100,2.0,2.0,,0,CVM,data,cbsPremium,dev-test-env
20490,50,4.0,8.0,,1,CVM,root,cbsPremium,travel-hospitality
11388,50,8.0,64.0,,1,CVM,root,cbsPremium,game-service
8477,100,4.0,16.0,5360.688492063492,0,CVM,data,cbsPremium,infra-node
18510,500,32.0,128.0,,1,CVM,data,cbsBSSD,infra-node
19722,200,2.0,4.0,,1,CVM,root,cbsPremium,infra-node
17509,200,32.0,128.0,,1,CVM,root,cbsPremium,infra-node
15180,50,48.0,192.0,,1,CVM,root,cbsssd,infra-node
8057,50,4.0,8.0,6752.826884920635,1,CVM,data,cbsPremium,finance-payment
9620,50,16.0,32.0,,0,CVM,root,cbsPremium,infra-node
9625,30,4.0,16.0,297.7996031746032,0,CVM,data,cbsHSSD,infra-database
9060,50,4.0,16.0,8.303571428571429,0,CVM,root,cbsPremium,generic-autoscaling
23062,50,16.0,32.0,441623.8541666667,1,CVM,root,cbsPremium,data-collection-delivery
3710,90,2.0,8.0,875.655257936508,0,CVM,data,cbsPremium,infra-message-queue
8147,500,16.0,64.0,10189.41765873016,0,CVM,data,cbsPremium,infra-logging-monitoring
4442,50,16.0,32.0,6720.667658730159,1,CVM,root,cbsPremium,ai-machine-learning
11020,50,2.0,4.0,6670.867063492064,1,CVM,root,cbsPremium,infra-coordination
283,100,4.0,8.0,876.2911706349206,1,CVM,data,cbsPremium,compute-simulation
22561,500,8.0,16.0,,0,CVM,data,cbsPremium,infra-database
11896,100,4.0,8.0,6680.162698412699,1,CVM,root,cbsPremium,infra-coordination
6682,10,2.0,8.0,14442.945932539682,0,CVM,data,cbsPremium,infra-node
16997,50,2.0,8.0,,1,CVM,root,cbsPremium,compute-simulation
23350,100,8.0,32.0,41354.802083333336,0,CVM,data,cbsHSSD,infra-database
22268,500,32.0,128.0,460.1458333333333,1,CVM,data,cbsssd,iot-saas-platform
9514,50,48.0,192.0,,1,CVM,root,cbsssd,infra-node
6084,2500,2.0,2.0,,1,CVM,data,cbsPremium,infra-jumpbox
10870,50,16.0,32.0,,1,CVM,root,cbsPremium,infra-database
13641,300,4.0,8.0,,1,CVM,data,cbsPremium,infra-node
1108,1000,32.0,64.0,,1,CVM,data,cbsPremium,media-video-streaming
18607,50,32.0,128.0,17194.200396825396,1,CVM,root,cbsPremium,compute-simulation
280,300,4.0,8.0,,1,CVM,data,cbsBSSD,infra-message-queue
22778,10,16.0,64.0,197784.6622023809,1,CVM,data,cbsPremium,infra-node
21213,100,8.0,16.0,,1,CVM,data,cbsHSSD,infra-message-queue
14495,50,8.0,16.0,11945.796130952382,0,CVM,root,cbsPremium,infra-logging-monitoring
19911,50,8.0,16.0,871.0386904761905,0,CVM,root,cbsPremium,infra-database
13938,100,4.0,8.0,399.67311507936506,1,CVM,data,cbsPremium,game-service
23485,100,4.0,8.0,,1,CVM,root,cbsPremium,generic-unknown
21705,200,32.0,128.0,,1,CVM,data,cbsHSSD,generic-autoscaling
22668,1020,96.0,192.0,46653.09424603175,1,CVM,data,cbsBSSD,infra-node
8505,90,2.0,8.0,1029.2936507936508,0,CVM,data,cbsPremium,infra-message-queue
18320,50,4.0,16.0,,0,CVM,data,cbsPremium,infra-database
10421,50,2.0,2.0,,1,CVM,data,cbsPremium,game-service
8764,100,8.0,16.0,,1,CVM,data,cbsPremium,dev-test-env
8748,50,4.0,16.0,614.0188492063492,1,CVM,root,cbsPremium,infra-coordination
16877,50,16.0,32.0,,1,CVM,root,cbsPremium,infra-logging-monitoring
8295,50,16.0,64.0,6958.225694444444,1,CVM,root,cbsPremium,generic-unknown
21395,100,64.0,256.0,,1,CVM,root,cbsPremium,infra-node
12261,20,4.0,16.0,8297.99107142857,0,CVM,data,cbsPremium,infra-database
4093,10,4.0,8.0,,0,CVM,data,cbsPremium,infra-node
10397,50,4.0,4.0,6515.8442460317465,1,CVM,root,cbsPremium,infra-cache
7826,100,4.0,8.0,9210.609623015873,1,CVM,root,cbsssd,infra-database
9402,150,2.0,4.0,,1,CVM,root,cbsPremium,infra-logging-monitoring
5652,50,4.0,8.0,,0,CVM,root,cbsBSSD,data-collection-delivery
20041,100,4.0,16.0,,1,CVM,root,cbsBSSD,infra-node
4475,80,4.0,8.0,7263.09871031746,1,CVM,root,cbsPremium,generic-unknown
12146,50,8.0,16.0,,1,CVM,root,cbsPremium,infra-database
9229,50,32.0,128.0,7599.342757936508,1,CVM,root,cbsPremium,dev-test-env
19332,600,16.0,128.0,,1,CVM,data,cbsssd,iot-saas-platform
19890,1000,16.0,32.0,570.2564484126984,1,CVM,data,cbsssd,infra-node
3711,200,8.0,16.0,,1,CVM,data,cbsPremium,media-video-streaming
16056,100,8.0,32.0,13584.587797619048,1,CVM,root,cbsPremium,media-video-streaming
147,200,8.0,16.0,,1,CVM,data,cbsBSSD,office-system
7337,250,8.0,32.0,5692.608630952381,1,CVM,data,cbsPremium,infra-node
11633,500,8.0,32.0,24916.717261904763,1,CVM,data,cbsssd,infra-database
22109,250,32.0,64.0,121900.80902777778,1,CVM,data,cbsPremium,infra-node
21455,500,32.0,128.0,62227.02728174603,0,CVM,data,cbsPremium,infra-node
17935,100,16.0,64.0,215144.85119047613,0,CVM,root,cbsPremium,infra-node
1530,300,4.0,8.0,5752.113591269841,1,CVM,data,cbsBSSD,game-service
21516,50,16.0,32.0,,1,CVM,data,cbsPremium,infra-node
19010,500,8.0,16.0,,0,CVM,data,cbsPremium,infra-message-queue
4600,50,8.0,16.0,10983.690476190475,1,CVM,root,cbsPremium,iot-saas-platform
17578,200,8.0,32.0,5971.469742063492,1,CVM,data,cbsHSSD,media-video-streaming
18005,50,2.0,4.0,9473.92757936508,1,CVM,root,cbsPremium,infra-node
22410,500,16.0,64.0,57993.25793650794,1,CVM,data,cbsPremium,generic-autoscaling
4059,100,16.0,32.0,8400.770833333334,1,CVM,data,cbsPremium,infra-node
3350,50,32.0,64.0,,1,CVM,data,cbsPremium,dev-test-env
6504,50,4.0,8.0,7130.390873015873,0,CVM,root,cbsBSSD,dev-test-env
9263,200,4.0,4.0,,1,CVM,root,cbsPremium,media-video-streaming
4596,50,16.0,64.0,440.3521825396825,1,CVM,root,cbsPremium,infra-node
7668,200,84.0,320.0,173.06200396825398,1,CVM,data,cbsPremium,infra-node
14878,100,2.0,8.0,3753.2916666666665,0,CVM,data,cbsPremium,infra-message-queue
19981,300,16.0,64.0,,0,CVM,data,cbsssd,generic-unknown
15122,50,32.0,128.0,,1,CVM,root,cbsPremium,infra-cache
18609,50,8.0,32.0,,1,CVM,root,cbsPremium,infra-node
8306,50,16.0,64.0,42900.70287698413,1,CVM,root,cbsssd,iot-saas-platform
19797,50,32.0,128.0,27998.534722222223,1,CVM,root,cbsPremium,infra-node
13679,50,8.0,32.0,,1,CVM,root,cbsPremium,finance-payment
18756,50,32.0,128.0,894178.5257936508,1,CVM,root,cbsssd,infra-node
3502,100,4.0,8.0,,1,CVM,data,cbsPremium,data-collection-delivery
18272,50,2.0,4.0,17029.596726190477,1,CVM,root,cbsPremium,compute-simulation
4742,200,8.0,32.0,61904.80753968254,1,CVM,root,cbsPremium,corp-website-portal
2864,500,32.0,64.0,,0,CVM,data,cbsPremium,infra-database
9115,50,8.0,16.0,,1,CVM,root,cbsPremium,ai-machine-learning
14515,50,8.0,16.0,15554.632936507936,0,CVM,root,cbsPremium,office-system
20051,100,2.0,4.0,21670.5376984127,1,CVM,root,cbsPremium,generic-unknown
24115,50,8.0,32.0,4722.487103174603,0,CVM,data,cbsHSSD,infra-database
2136,10,4.0,16.0,,0,CVM,data,cbsPremium,generic-unknown
4028,100,4.0,8.0,,1,CVM,root,cbsBSSD,data-collection-delivery
9138,50,2.0,4.0,6426.236607142857,1,CVM,root,cbsPremium,infra-cache
20265,100,20.0,80.0,5376.977678571428,0,CVM,root,cbsPremium,generic-unknown
21372,150,16.0,64.0,,1,CVM,root,cbsssd,data-collection-delivery
5561,1024,8.0,16.0,,1,CVM,data,cbsPremium,dev-test-env
11255,50,8.0,16.0,15613.85515873016,0,CVM,root,cbsPremium,generic-unknown
3776,150,4.0,16.0,10611.136904761905,0,CVM,data,cbsPremium,infra-node
16148,110,8.0,16.0,26239.768353174604,1,CVM,data,cbsPremium,iot-saas-platform
6173,50,16.0,64.0,,0,CVM,root,cbsPremium,infra-database
2595,200,8.0,16.0,,0,CVM,data,cbsssd,infra-database
23405,200,32.0,128.0,,1,CVM,data,cbsHSSD,infra-node
1346,3000,32.0,128.0,206447.23263888888,1,CVM,data,cbsssd,infra-node
12998,100,4.0,8.0,1156.827380952381,1,CVM,root,cbsPremium,infra-coordination
6650,50,32.0,64.0,7285.7797619047615,0,CVM,root,cbsPremium,media-video-streaming
16146,50,32.0,128.0,,1,CVM,root,cbsssd,infra-database
23030,150,8.0,32.0,99949.76884920636,1,CVM,root,cbsPremium,game-service
2884,200,8.0,32.0,2139.1929563492063,1,CVM,data,cbsPremium,infra-database
15473,10,2.0,4.0,0.4181547619047619,0,CVM,data,cbsPremium,generic-unknown
20947,50,4.0,8.0,6390.3735119047615,1,CVM,root,cbsBSSD,travel-hospitality
12702,100,16.0,32.0,,0,CVM,root,cbsssd,infra-node
8896,500,8.0,32.0,5915.344742063492,1,CVM,data,cbsHSSD,media-video-streaming
22423,50,16.0,64.0,,1,CVM,root,cbsPremium,compute-simulation
6624,50,16.0,64.0,11901.35515873016,0,CVM,root,cbsPremium,dev-test-env
3268,200,16.0,32.0,,1,CVM,data,cbsBSSD,infra-node
17676,100,84.0,256.0,31928.50496031746,1,CVM,data,cbsPremium,infra-node
17084,50,8.0,16.0,,0,CVM,root,cbsPremium,game-service
4579,50,16.0,64.0,8900.228174603175,0,CVM,root,cbsPremium,generic-unknown
11604,50,8.0,16.0,,1,CVM,root,cbsPremium,iot-saas-platform
14463,50,8.0,32.0,8081.087301587301,1,CVM,root,cbsPremium,ai-machine-learning
22794,500,16.0,32.0,,0,CVM,data,cbsPremium,logistics-mobility
6544,300,4.0,16.0,,1,CVM,root,cbsBSSD,education-learning
19785,100,8.0,32.0,3982.392857142857,1,CVM,root,cbsBSSD,ai-machine-learning
15680,80,16.0,64.0,6984.519345238095,1,CVM,root,cbsPremium,infra-node
17567,50,8.0,16.0,,1,CVM,root,cbsPremium,generic-unknown
1383,40,4.0,16.0,2941.52876984127,0,CVM,data,cbsHSSD,infra-database
18533,1050,16.0,32.0,11610.491567460318,0,CVM,data,cbsPremium,infra-message-queue
8570,100,4.0,16.0,,1,CVM,data,cbsPremium,compute-simulation
640,200,2.0,8.0,,1,CVM,data,cbsPremium,infra-logging-monitoring
681,1000,32.0,128.0,336.0128968253968,1,CVM,data,cbsHSSD,infra-node
9246,100,16.0,32.0,9469.075396825398,0,CVM,root,cbsPremium,infra-node
2501,10,2.0,8.0,,0,CVM,data,cbsPremium,infra-node
8025,500,4.0,8.0,7447.933035714285,1,CVM,data,cbsPremium,infra-coordination
21115,50,2.0,4.0,,1,CVM,root,cbsPremium,dev-test-env
10007,20,96.0,384.0,,1,CVM,data,cbsssd,infra-node
11921,100,4.0,8.0,1277.452876984127,0,CVM,data,cbsssd,infra-node
14151,500,96.0,384.0,,1,CVM,root,cbsPremium,dev-test-env
19777,50,16.0,64.0,14799.82390873016,0,CVM,root,cbsPremium,generic-unknown
2683,100,4.0,8.0,6107.586805555556,1,CVM,data,cbsPremium,game-service
22307,200,16.0,64.0,19834.10218253968,1,CVM,data,cbsBSSD,office-system
11256,100,32.0,128.0,2161.21875,1,CVM,root,cbsPremium,generic-autoscaling
8037,50,16.0,64.0,14780.045634920634,0,CVM,root,cbsPremium,generic-unknown
16286,100,4.0,8.0,303.5124007936508,1,CVM,root,cbsPremium,generic-unknown
6913,60,2.0,4.0,6538.547123015873,1,CVM,root,cbsPremium,infra-jumpbox
22243,300,8.0,32.0,83029.56299603175,1,CVM,data,cbsBSSD,infra-node
11418,50,32.0,64.0,10997.434523809525,1,CVM,root,cbsBSSD,infra-node
17560,50,48.0,192.0,,1,CVM,root,cbsssd,infra-node
21560,50,16.0,32.0,8744.934523809523,1,CVM,root,cbsPremium,data-collection-delivery
10957,50,4.0,8.0,5725.957837301588,1,CVM,root,cbsssd,infra-node
3470,90,2.0,8.0,899.0877976190476,0,CVM,data,cbsPremium,infra-message-queue
3834,200,2.0,8.0,,0,CVM,data,cbsssd,compute-simulation
22377,500,16.0,32.0,,1,CVM,data,cbsPremium,data-collection-delivery
2764,1000,4.0,4.0,8.62797619047619,0,CVM,data,cbsPremium,infra-node
17629,50,32.0,128.0,12103.410218253968,0,CVM,root,cbsPremium,infra-database
17792,500,4.0,8.0,334.97519841269843,1,CVM,data,cbsssd,infra-message-queue
6879,100,16.0,64.0,10037.109126984127,1,CVM,data,cbsPremium,infra-coordination
5099,300,20.0,80.0,,0,CVM,data,cbsPremium,generic-unknown
19605,300,16.0,128.0,27725.26785714286,1,CVM,root,cbsPremium,infra-node
7439,200,8.0,32.0,8523.761408730159,1,CVM,data,cbsssd,infra-node
2404,200,4.0,8.0,,1,CVM,data,cbsPremium,infra-coordination
2386,50,4.0,8.0,1622.5059523809523,1,CVM,root,cbsBSSD,dev-test-env
21798,420,16.0,32.0,1325118.2881944445,0,CVM,data,cbsssd,infra-message-queue
5598,500,8.0,32.0,358950.1507936508,1,CVM,data,cbsHSSD,dev-test-env
1052,20,8.0,64.0,,1,CVM,data,cbsHSSD,infra-node
16296,50,32.0,128.0,8777.45982142857,1,CVM,root,cbsPremium,game-service
13655,50,48.0,192.0,618563.248015873,1,CVM,root,cbsssd,infra-node
22633,500,32.0,64.0,,1,CVM,data,cbsPremium,infra-node
21312,50,32.0,64.0,3277291.5496031744,1,CVM,root,cbsPremium,game-service
11791,50,4.0,8.0,,1,CVM,root,cbsPremium,dev-test-env
19252,100,16.0,64.0,138770.38938492062,1,CVM,root,cbsPremium,compute-simulation
5446,500,8.0,32.0,11508.235119047618,1,CVM,data,cbsPremium,infra-node
19058,200,8.0,16.0,,1,CVM,root,cbsPremium,ai-machine-learning
20981,50,2.0,8.0,,0,CVM,data,cbsPremium,infra-logging-monitoring
3286,1000,8.0,16.0,,1,CVM,data,cbsPremium,compute-simulation
12320,100,16.0,64.0,7291.990079365079,0,CVM,root,cbsPremium,generic-unknown
15533,50,16.0,32.0,11790.955357142857,1,CVM,root,cbsPremium,infra-node
16545,200,8.0,16.0,3426.306547619048,1,CVM,data,cbsssd,infra-message-queue
13499,200,24.0,48.0,,1,CVM,data,cbsPremium,infra-node
12704,50,16.0,64.0,6123.3735119047615,0,CVM,root,cbsPremium,generic-unknown
20199,100,80.0,320.0,4518.903273809524,0,CVM,root,cbsPremium,infra-node
19845,500,8.0,64.0,,1,CVM,data,cbsPremium,dev-test-env
14155,60,2.0,4.0,,1,CVM,root,cbsPremium,infra-jumpbox
6149,200,4.0,8.0,6241.691468253968,1,CVM,data,cbsPremium,infra-coordination
13228,200,8.0,32.0,20497.31051587301,1,CVM,root,cbsPremium,generic-unknown
2140,10,8.0,32.0,,0,CVM,data,cbsPremium,generic-unknown
11243,1000,32.0,64.0,31247.664186507936,0,CVM,data,cbsPremium,office-system
17031,500,4.0,8.0,,1,CVM,data,cbsPremium,community-social-forum
19495,100,84.0,256.0,26344.625,1,CVM,data,cbsPremium,infra-node
250,200,8.0,16.0,2889.8313492063494,1,CVM,data,cbsssd,infra-message-queue
23601,50,16.0,64.0,15.51140873015873,1,CVM,root,cbsssd,infra-logging-monitoring
22809,100,2.0,4.0,21592.77926587301,1,CVM,root,cbsPremium,generic-unknown
4724,170,4.0,8.0,2521.59126984127,0,CVM,data,cbsssd,infra-message-queue
5528,1050,16.0,32.0,,0,CVM,data,cbsPremium,infra-message-queue
8980,100,4.0,16.0,146429.72767857142,1,CVM,root,cbsPremium,compute-simulation
18266,80,4.0,8.0,,1,CVM,root,cbsPremium,iot-saas-platform
9770,200,8.0,16.0,,1,CVM,data,cbsPremium,infra-coordination
52,200,8.0,16.0,3372.40376984127,1,CVM,data,cbsssd,infra-database
1493,1000,48.0,192.0,632220.4756944445,1,CVM,data,cbsssd,infra-node
21200,170,4.0,8.0,684466.6780753968,0,CVM,data,cbsssd,infra-message-queue
10543,50,8.0,16.0,6653.000992063492,1,CVM,root,cbsPremium,infra-logging-monitoring
1056,20,8.0,16.0,,1,CVM,data,cbsPremium,infra-node
2898,100,8.0,32.0,9621.953373015873,1,CVM,data,cbsBSSD,infra-node
11467,50,16.0,32.0,15374.40773809524,1,CVM,root,cbsPremium,infra-node
4405,50,4.0,8.0,8764.625496031746,1,CVM,data,cbsPremium,finance-payment
4393,350,8.0,32.0,1063.90873015873,1,CVM,data,cbsBSSD,local-service-delivery
10915,50,8.0,32.0,,0,CVM,root,cbsPremium,infra-node
19767,100,4.0,16.0,,0,CVM,data,cbsPremium,dev-test-env
7495,10,8.0,32.0,,0,CVM,data,cbsPremium,infra-node
13788,200,16.0,64.0,7045.997023809524,1,CVM,data,cbsBSSD,infra-node
20850,50,16.0,64.0,,0,CVM,data,cbsssd,infra-node
21803,170,4.0,8.0,,0,CVM,data,cbsssd,infra-message-queue
1710,200,4.0,16.0,,1,CVM,data,cbsssd,infra-database
4569,100,4.0,16.0,21232.65724206349,0,CVM,data,cbsPremium,infra-node
18355,50,16.0,32.0,328.90228174603175,1,CVM,root,cbsssd,data-collection-delivery
15080,50,16.0,32.0,7514.453373015873,1,CVM,root,cbsBSSD,infra-node
12321,50,32.0,128.0,679920.8928571428,1,CVM,root,cbsPremium,compute-simulation
19507,200,64.0,128.0,,1,CVM,data,cbsPremium,infra-node
20361,50,8.0,16.0,1339498.0376984128,1,CVM,root,cbsssd,infra-logging-monitoring
15835,50,8.0,16.0,65512.018849206346,0,CVM,root,cbsPremium,office-system
3547,50,4.0,8.0,,1,CVM,root,cbsPremium,data-collection-delivery
8969,110,8.0,16.0,10767.374007936509,1,CVM,data,cbsPremium,iot-saas-platform
17196,50,16.0,32.0,130770.7554563492,1,CVM,root,cbsPremium,infra-node
9512,100,16.0,32.0,,1,CVM,root,cbsPremium,dev-test-env
963,10,2.0,8.0,,0,CVM,data,cbsPremium,infra-node
3806,20,32.0,128.0,330.5649801587302,1,CVM,data,cbsPremium,infra-node
5472,50,8.0,16.0,,1,CVM,root,cbsssd,infra-message-queue
12157,50,2.0,4.0,5047.001984126984,1,CVM,root,cbsPremium,generic-unknown
9351,50,4.0,8.0,,1,CVM,root,cbsPremium,education-learning
4375,500,4.0,8.0,,1,CVM,data,cbsPremium,infra-message-queue
14321,50,48.0,192.0,3632.280257936508,1,CVM,root,cbsssd,infra-node
9579,50,32.0,64.0,8078.034226190476,0,CVM,root,cbsPremium,media-video-streaming
22618,50,4.0,8.0,7012.054067460317,1,CVM,root,cbsPremium,travel-hospitality
1642,10,2.0,2.0,,0,CVM,data,cbsPremium,generic-unknown
21037,50,16.0,32.0,3268.373015873016,1,CVM,root,cbsPremium,infra-node
15902,50,32.0,128.0,378863.4880952381,1,CVM,root,cbsPremium,game-service
5953,200,4.0,8.0,,1,CVM,data,cbsPremium,infra-node
8099,10,16.0,128.0,2422.6626984126983,1,CVM,data,cbsPremium,infra-node
18303,50,16.0,64.0,1403634.007936508,1,CVM,root,cbsPremium,infra-node
14294,50,32.0,64.0,56841.3621031746,1,CVM,root,cbsBSSD,infra-node
10952,50,16.0,128.0,375037.8234126984,1,CVM,root,cbsPremium,compute-simulation
11940,50,32.0,128.0,44301.34126984127,0,CVM,root,cbsPremium,infra-node
3503,3500,32.0,256.0,,1,CVM,data,cbsHSSD,ai-machine-learning
10158,50,8.0,32.0,,1,CVM,root,cbsPremium,infra-node
12348,1000,16.0,32.0,,1,CVM,data,cbsPremium,generic-unknown
4449,500,8.0,16.0,7596.540674603175,0,CVM,data,cbsPremium,game-service
13105,50,16.0,64.0,6743.434027777777,1,CVM,root,cbsPremium,data-collection-delivery
8965,1000,16.0,128.0,25143.239087301587,0,CVM,data,cbsPremium,dev-test-env
18841,600,8.0,32.0,358642.0525793651,1,CVM,data,cbsPremium,dev-test-env
22875,200,4.0,8.0,6459.53125,1,CVM,data,cbsPremium,infra-coordination
14538,50,2.0,8.0,1155.625,1,CVM,root,cbsPremium,infra-node
18486,500,16.0,32.0,96436.46478174604,1,CVM,root,cbsBSSD,dev-test-env
9712,50,4.0,32.0,,1,CVM,root,cbsPremium,community-social-forum
19631,200,4.0,8.0,,1,CVM,root,cbsPremium,infra-database
2209,100,84.0,256.0,,1,CVM,data,cbsPremium,infra-node
7916,50,32.0,128.0,,1,CVM,root,cbsPremium,dev-test-env
13445,100,4.0,8.0,6917.198908730159,1,CVM,data,cbsPremium,game-service
20785,500,32.0,256.0,7624.210813492064,1,CVM,root,cbsBSSD,data-collection-delivery
11638,100,2.0,4.0,,1,CVM,root,cbsPremium,infra-jumpbox
