business_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ai-machine-learning,0.03776052373876642,0.037076087819927196,0.036744956157747546,0.037684583236201885,0.03753513295967966,0.038709714900488745,0.03535018688964676,0.035839950008629294,0.03947596574757832,0.04783963724904886,0.04984784625384201,0.05213984447369088,0.04002993464982445,0.039913191949510686,0.044033289037239645,0.04678806680123517,0.050982843661450485,0.04838139416971864,0.04096173782004145,0.042000411022709426,0.04139542751617498,0.04190858893270778,0.039358587237578985,0.038242097766560755
community-social-forum,0.04598143869306978,0.032468750060891956,0.029945844900048136,0.07011718220313348,0.029945491139638555,0.030371998054635675,0.03466238993836958,0.033980946110574395,0.04312453213661716,0.040510309786001425,0.039345200463583835,0.03810575908330935,0.03628799727720092,0.036203352902852766,0.03775085449874996,0.04109184840069159,0.040407848921250884,0.03997442844152015,0.04273169139602759,0.042616439908585074,0.044086661469538664,0.043929467740566025,0.042636658060516454,0.08372290841262658
compute-simulation,0.03903882520588954,0.04209828341672987,0.04611630456713101,0.04582653311042229,0.04836634226354729,0.04994079057465407,0.039414331754254274,0.03839053214241754,0.03820330120205609,0.03711654635415238,0.04572218009754137,0.04124044476282736,0.04176779924123363,0.043050357015537694,0.044777067573830945,0.04175797236742508,0.043740928703291625,0.03982752463857824,0.040143140935801486,0.038354951039985215,0.03812722855826262,0.03964808408520965,0.03977156713936074,0.03755896324985995
corp-website-portal,0.06630860611007983,0.04099674015438122,0.039108401144823585,0.043997757996225656,0.03519213153213807,0.03449299280862625,0.040418415326316896,0.03931636908342112,0.042398322154279786,0.04316235074824118,0.045611539655468505,0.042011981275316065,0.03756316926748964,0.03744965394704586,0.03940314379328466,0.043720267849927844,0.04688076678924242,0.040434029008860256,0.04246943070926758,0.042456343888026535,0.04007767643962992,0.03798147329871694,0.036935165251956385,0.04161327176723374
data-collection-delivery,0.042406360305945016,0.04071609871807942,0.044865812494601254,0.040010233331819973,0.04248023629445538,0.039926210803045,0.03819034547287145,0.038354867447603365,0.03871997173938018,0.039491717380459986,0.04664056569081329,0.04290206565204868,0.04228670134149348,0.043447028755099454,0.04200371539413239,0.042474921532653684,0.041856499741800626,0.041272457373483735,0.045100242784782876,0.04513523784941865,0.045502514169350756,0.04079517905969613,0.038715721153360465,0.03670529551360483
dev-test-env,0.04852592543639506,0.04770295392217348,0.04002998009866977,0.04222075242170379,0.041330922052745765,0.03699393954578694,0.037039300166538724,0.03524158505489071,0.03721311399204747,0.039602832728060505,0.045317304072592206,0.04246475532073384,0.038557915780290324,0.03943227558427939,0.047423336446272384,0.04740840666651993,0.04718742167813001,0.04635433774175808,0.043687116961328834,0.039720289308264684,0.039429995248625276,0.03851995785285864,0.04073514437137901,0.03786043754795489
ecommerce-retail,0.05679424986291381,0.03435608710321599,0.03934445433849292,0.0361725891344472,0.034098378583559005,0.033523628952132206,0.03717189906695721,0.03726787244544063,0.04279869757261318,0.04250415244456861,0.044187669099425175,0.044611715614072886,0.04130896389041121,0.04269981356036467,0.0445990223920961,0.045921534175981445,0.04610633762642635,0.04807001277575613,0.04221790981820979,0.042145217931368155,0.042129267901449954,0.041835880053437406,0.040252610457092594,0.03988203519956734
education-learning,0.035221372124783046,0.03561075860216411,0.03573312919308808,0.03441040596072689,0.03482213452504234,0.03492757254600677,0.03580287986864726,0.038656966367800055,0.04027463786947503,0.041594482962843744,0.04373778169154454,0.042951125186371265,0.04039984675083571,0.03913315220237056,0.042860235270290405,0.047982397213441864,0.044808322623553755,0.04440093690678635,0.04263548967866151,0.04434159781219476,0.042591815852958126,0.0392121932546112,0.08073917528647183,0.03715159024933077
finance-payment,0.04686498739354013,0.03901175275768405,0.054234026421453634,0.039126000609599094,0.03743009557014396,0.03591083675971903,0.037033065013816265,0.03987463125161234,0.03900009110882864,0.04021228702883964,0.04039864210320202,0.04357964916681338,0.04245943877933194,0.03916229389573259,0.044568842939369635,0.04170047312677956,0.0410594197925977,0.051346045354893725,0.04481895702281301,0.04987532072935603,0.04039232028115003,0.03729541722277663,0.03749530359844087,0.03715010207150611
game-service,0.05613405686566094,0.03983388937887979,0.037990126372461554,0.06990026949231407,0.07474455100803477,0.05024722333946209,0.04628635563034607,0.03606751203324925,0.03729058787556051,0.04052559007979903,0.04039390842412516,0.03689022939546148,0.0367389617286327,0.03478076924277029,0.03515172729098633,0.03813501673642435,0.037644904252770825,0.034760690552893006,0.035474900873211306,0.03643543415746302,0.0369864813556817,0.036059774139027764,0.03545883255861425,0.036068207216169684
