business_type,0,6,12,18
ai-machine-learning,0.24547977128421652,0.25764281290875135,0.2526711543417146,0.2442062614653177
community-social-forum,0.24794327190551593,0.2475679035728342,0.2579910956947482,0.24649772882690155
compute-simulation,0.25244573707117285,0.2501296885178761,0.23335135295835366,0.26407322145259693
corp-website-portal,0.24975418693461487,0.2559377647369318,0.24591471161907746,0.24839333670937563
data-collection-delivery,0.24173561513489505,0.25973307053743505,0.24080572806562883,0.2577255862620417
dev-test-env,0.24074785869146637,0.2560567935737334,0.24636646679803473,0.2568288809367653
ecommerce-retail,0.24138977304845385,0.2569401547541465,0.2542301233278246,0.24743994886957515
education-learning,0.23672248307440008,0.2581205458332404,0.27933281222721706,0.22582415886514207
finance-payment,0.24784225316738556,0.2434707396975442,0.24558120803299835,0.263105799102072
game-service,0.25210250672833867,0.24111352687660204,0.2413304550768328,0.2654535113182263
generic-autoscaling,0.23887445601992024,0.25707019935608594,0.2628662136476949,0.24118913097629893
generic-unknown,0.23103392908659404,0.2594928347110879,0.24737645845580544,0.26209677774651224
gov-public-service,0.2484102936889716,0.250623437355854,0.25494421503293396,0.2460220539222404
infra-cache,0.2512000573350984,0.2562656165031081,0.2477125063070976,0.24482181985469617
infra-cloud-function,0.2482350456677881,0.2509864248764417,0.2477400510899495,0.25303847836582066
infra-coordination,0.24882525840353958,0.25104499168574,0.24831609351810385,0.2518136563926167
infra-database,0.25779250587022123,0.24875636845980378,0.2467836479896143,0.24666747768036015
infra-jumpbox,0.24184983517659855,0.23090174402091912,0.23746140489088305,0.2897870159115995
infra-logging-monitoring,0.23928700521042595,0.2495100153378181,0.2457713544914188,0.2654316249603369
infra-message-queue,0.2450591080896421,0.25740580368436233,0.2608165790776085,0.23671850914838688
infra-node,0.24347549596361975,0.2569911314432208,0.2522553879595087,0.24727798463364992
iot-saas-platform,0.23560489407012394,0.25512675911821336,0.2439451534757288,0.2653231933359337
local-service-delivery,0.24572062057207025,0.27786494313988674,0.24505121908000704,0.23136321720803596
logistics-mobility,0.24753026109959234,0.2663040020786226,0.24665795413016212,0.23950778269162298
media-news-portal,0.2365735001957118,0.2621133922205572,0.2504402629314383,0.25087284465229276
media-video-streaming,0.23730446680288136,0.256383740639985,0.26963783281278575,0.23667395974434774
office-system,0.2433540873521773,0.255412543373613,0.2410162817320938,0.26021708754211653
personal-use,0.25079271260237107,0.24164237233784455,0.23492016931941967,0.2726447457403647
travel-hospitality,0.23793927537244125,0.2574429676385728,0.26053218239673837,0.24408557459224797
