business_type,0,12
ai-machine-learning,0.5031225841929677,0.4968774158070322
community-social-forum,0.4955111754783499,0.5044888245216501
compute-simulation,0.5025754255890494,0.4974245744109506
corp-website-portal,0.5056919516715469,0.49430804832845315
data-collection-delivery,0.50146868567233,0.49853131432767
dev-test-env,0.49680465226520143,0.5031953477347986
ecommerce-retail,0.49832992780260016,0.5016700721973999
education-learning,0.49484302890764087,0.5051569710923591
finance-payment,0.49131299286492963,0.5086870071350703
game-service,0.4932160336049403,0.5067839663950595
generic-autoscaling,0.4959446553760066,0.5040553446239934
generic-unknown,0.490526763797682,0.5094732362023181
gov-public-service,0.4990337310448257,0.5009662689551744
infra-cache,0.5074656738382063,0.49253432616179377
infra-cloud-function,0.49922147054422983,0.5007785294557702
infra-coordination,0.4998702500892802,0.50012974991072
infra-database,0.5065488743300254,0.49345112566997495
infra-jumpbox,0.4727515791975179,0.5272484208024822
infra-logging-monitoring,0.48879702054824464,0.5112029794517555
infra-message-queue,0.5024649117740043,0.4975350882259957
infra-node,0.500466627406841,0.49953337259315916
iot-saas-platform,0.490731653188338,0.5092683468116621
local-service-delivery,0.523585563711957,0.4764144362880431
logistics-mobility,0.5138342631782149,0.4861657368217851
media-news-portal,0.49868689241626896,0.501313107583731
media-video-streaming,0.4936882074428661,0.506311792557134
office-system,0.49876663072579036,0.5012333692742097
personal-use,0.49243508494021565,0.5075649150597844
travel-hospitality,0.49538224301101386,0.5046177569889861
