business_type,0,3,6,9,12,15,18,21
ai-machine-learning,0.11058073868377798,0.13489903260043842,0.12106786145556153,0.13657495145319024,0.13211033376369727,0.12056082057801701,0.11837645342294838,0.12582980804236915
community-social-forum,0.11855104049181557,0.12939223141370046,0.11961097341515228,0.1279569301576819,0.1276873460607067,0.13030374963404162,0.12267020758681403,0.12382752124008756
compute-simulation,0.1246888445328125,0.12775689253836053,0.12221561147392983,0.12791407704394636,0.11950456006905781,0.11384679288929586,0.12340471797992648,0.14066850347267054
corp-website-portal,0.12028217618501323,0.1294720107496018,0.12484318778971583,0.13109457694721605,0.12366651994876533,0.12224819167031209,0.12308759026274883,0.1253057464466269
data-collection-delivery,0.11897991934523502,0.12275569578965996,0.13185266369764986,0.1278804068397851,0.11985347272574333,0.1209522553398854,0.12210531894430701,0.13562026731773416
dev-test-env,0.11722129432753793,0.12352656436392896,0.12409363414853145,0.13196315942520231,0.12517546658899237,0.12119100020904199,0.12813576992412093,0.12869311101264438
ecommerce-retail,0.1154541370568728,0.12593563599158114,0.1248872657228794,0.13205288903126708,0.13024278997792507,0.12398733334989949,0.12381601009291879,0.12362393877665649
education-learning,0.11354647102308874,0.12317601205131147,0.12535859313258685,0.1327619527006538,0.1368088309040524,0.14252398132316457,0.11258370439948202,0.11324045446565995
finance-payment,0.1278274532866021,0.12001479988078341,0.12266416155269255,0.1208065781448514,0.12143322481232954,0.12414798322066883,0.13235006601330737,0.13075573308876473
game-service,0.12565458451077666,0.126447922217562,0.12169706333139901,0.11941646354520302,0.11938334912948198,0.12194710594735067,0.13700038639067186,0.12845312492755473
generic-autoscaling,0.11572951054495294,0.1231449454749673,0.12703991943075302,0.13003027992533267,0.1338536699702544,0.1290125436774407,0.12364007711519986,0.11754905386109896
generic-unknown,0.10855458668822117,0.1224793423983727,0.12765185519861694,0.1318409795124712,0.12570725750747788,0.12166920094832774,0.12688882614700528,0.1352079515995069
gov-public-service,0.12239986816616483,0.12601042552280667,0.12454903646099663,0.12607440089485744,0.12953324484042747,0.12541097019250663,0.12130292993172467,0.12471912399051564
infra-cache,0.12423940749486988,0.1269606498402283,0.12827450917492336,0.12799110732818464,0.12555853107243828,0.12215397523465928,0.12130391551047397,0.12351790434422219
infra-cloud-function,0.12412885936575473,0.12410618630203332,0.1253931990671614,0.12559322580928034,0.12332969498949385,0.12441035610045569,0.12623498094277547,0.1268034974230452
infra-coordination,0.12230065510691054,0.1265246032966291,0.12337642983429058,0.12766856185144942,0.12474533662285311,0.12357075689525068,0.12498998190883587,0.12682367448378065
infra-database,0.12320386596363536,0.13458863990658634,0.12477460037914223,0.12398176808066132,0.126390077112339,0.12039357087727562,0.12740654694607245,0.11926093073428791
infra-jumpbox,0.12178946431016983,0.12006037086642875,0.11352001404672396,0.11738172997419512,0.12427056640264567,0.11319083848823736,0.1273511612822614,0.16243585462933788
infra-logging-monitoring,0.11678531046138226,0.12250169474904382,0.12389924561612776,0.1256107697216905,0.12172326355013147,0.1240480909412872,0.1441610590592694,0.12127056590106781
infra-message-queue,0.11717155484660134,0.12788755324304088,0.12744517260162241,0.1299606310827401,0.1322868146319867,0.12852976444562147,0.12106789850199141,0.1156506106463958
infra-node,0.11846147349506411,0.12501402246855567,0.1261931738701671,0.13079795757305476,0.12843286263914197,0.12382252532036653,0.12207694073812865,0.12520104389552086
iot-saas-platform,0.1159800093471441,0.1196248847229798,0.12806896954282337,0.12705778957539024,0.1222040707680423,0.12174108270768674,0.1429956183662436,0.12232757496969002
local-service-delivery,0.1168371128561492,0.12888350771592103,0.1322598744088018,0.14560506873108497,0.12556178820915617,0.11948943087085089,0.11714990421591386,0.1142133129921221
logistics-mobility,0.11800944850191109,0.12952081259768122,0.12909331085490353,0.13721069122371912,0.12626213303469205,0.12039582109547009,0.11919761532495098,0.12031016736667202
media-news-portal,0.10884246596032889,0.12773103423538296,0.12172293902809404,0.1403904531924631,0.13681203564539315,0.11362822728604517,0.1417452269119044,0.10912761774038836
media-video-streaming,0.11392881089888658,0.12337565590399484,0.12432246917694467,0.1320612714630404,0.13351184546049924,0.13612598735228665,0.12525619173040076,0.11141776801394693
office-system,0.1153033554966517,0.12805073185552543,0.1272660535385666,0.12814648983504612,0.12298101293295768,0.11803526879913587,0.12898292015785648,0.13123416738425964
personal-use,0.112016213761533,0.13877649884083804,0.11844635471752853,0.12319601762031607,0.1157601390029455,0.11916003031647418,0.15584636540940197,0.11679838033096274
travel-hospitality,0.1161787204643147,0.12176055490812646,0.12733154443818384,0.13011142320038888,0.13245608708282047,0.12807609531391775,0.1231986686503216,0.12088690594192632
