business_type,0,6,12,18
ai-machine-learning,0.23998445551197345,0.25467393809672895,0.2666889064272252,0.23865269996407212
community-social-forum,0.23876461892802558,0.25008579916526935,0.25294356217223746,0.25820601973446744
compute-simulation,0.2692978696027237,0.24880807386241063,0.2497095792548268,0.2321844772800386
corp-website-portal,0.24427383994726887,0.2544067949883992,0.2544793197293197,0.24684004533501208
data-collection-delivery,0.2562421242249506,0.2471231637158555,0.25319692771144203,0.24343778434775185
dev-test-env,0.2522959682331569,0.2452755711420641,0.2567628277866855,0.24566563283809403
ecommerce-retail,0.23678473142342407,0.2496694931569393,0.2609756693727086,0.2525701060469279
education-learning,0.22157522739842075,0.24896083069503494,0.2635274522888945,0.2659364896176496
finance-payment,0.2481052042958015,0.251341658228656,0.24253738537160033,0.258015752103942
game-service,0.25515922865241925,0.24899691016707576,0.23827136811695698,0.2575724930635482
generic-autoscaling,0.23735511496768918,0.24612219872454646,0.2622130109357866,0.2543096753719781
generic-unknown,0.24959665350126994,0.2430134545742391,0.2582564212562613,0.24913347066822877
gov-public-service,0.24667493036703905,0.24958714010246566,0.2558884250291134,0.24784950450138188
infra-cache,0.24868806432639384,0.25222646533950654,0.2550397039720812,0.24404576636201863
infra-cloud-function,0.25124877881139007,0.24881195828966607,0.2498534853392074,0.2500857775597365
infra-coordination,0.25038275676420785,0.24967416541148774,0.2524410694399737,0.24750200838433106
infra-database,0.24134928539039735,0.2592679207165756,0.2513186059556473,0.2480641879373797
infra-jumpbox,0.28925210323229555,0.23380930313499604,0.23975836454040225,0.23718022909230607
infra-logging-monitoring,0.24623219327924328,0.24291445851064608,0.25110194220078125,0.25975140600932967
infra-message-queue,0.2319213679120606,0.2535041802060895,0.2599662916592614,0.2546081602225883
infra-node,0.24508216358535448,0.24888055764040098,0.2581458061708981,0.24789147260334832
iot-saas-platform,0.2545372225278238,0.24593895727146722,0.24940929559236952,0.2501145246083396
local-service-delivery,0.23093294575145432,0.25520103200524036,0.27563643165085805,0.23822959059244725
logistics-mobility,0.23867351277902144,0.25339182138076505,0.26662742308760445,0.24130724275260912
media-news-portal,0.23758170474552498,0.2495463945918611,0.27476461930675894,0.23810728135585493
media-video-streaming,0.22351525336221886,0.2469822022984421,0.2607401806273514,0.26876236371198753
office-system,0.2523145226328627,0.25061261000875024,0.25455463114721405,0.24251823621117322
personal-use,0.2504853033669099,0.2573822457941348,0.23684978271911644,0.25528266811983896
travel-hospitality,0.239794864825616,0.24627191358214662,0.25813306935303193,0.25580015223920544
