0 0 0 0 1
1 0 0 0 0
0 0 0 0 1
0 0 0 0 1
1 0 0 0 0
1 0 0 0 0
1 0 0 0 1
0 0 0 0 2
0 0 0 0 2
1 0 1 0 0
1 0 0 0 1
0 0 0 0 3
1 0 0 0 2
1 0 0 0 2
0 0 0 0 4
2 0 0 0 1
1 0 0 0 3
2 0 0 0 2
1 0 0 0 3
1 0 0 0 4
3 0 0 0 2
0 0 0 0 5
2 0 0 0 4
0 0 0 0 6
0 0 0 0 2
1 0 0 0 4
0 0 0 0 3
0 0 0 0 7
1 0 0 0 5
1 0 0 0 6
1 0 0 0 3
2 0 1 0 0
1 0 0 0 4
1 0 0 0 7
2 0 1 0 1
1 0 0 0 5
2 0 1 0 2
3 0 0 0 4
1 0 0 0 6
3 0 0 0 5
1 0 0 1 7
4 0 0 0 5
2 0 0 1 7
1 0 0 0 7
2 0 0 1 8
4 0 0 0 6
2 0 0 1 9
1 0 0 0 8
2 0 0 0 6
3 0 0 1 9
1 0 0 1 8
4 0 0 1 9
5 0 0 1 9
2 0 0 0 7
5 0 0 1 10
2 0 0 1 7
2 0 1 0 3
2 0 0 2 7
2 0 1 0 4
5 0 0 1 11
5 0 0 1 12
4 0 0 0 7
2 0 0 2 8
2 0 0 2 9
2 0 1 0 5
2 0 0 2 10
2 0 0 2 11
2 0 1 0 6
3 0 1 0 6
2 0 0 2 12
3 0 1 0 7
3 0 1 1 7
3 0 0 2 12
1 0 0 1 9
4 0 1 1 7
5 0 1 1 7
5 0 1 1 8
5 0 0 1 13
1 0 0 1 10
5 0 1 1 9
5 0 0 1 14
1 0 0 1 11
6 0 0 1 14
6 0 0 1 15
5 0 1 1 10
1 0 0 1 12
1 0 0 1 13
1 0 0 2 13
6 0 0 1 16
6 0 0 1 17
6 0 0 1 18
6 0 1 1 10
6 0 0 1 19
6 0 0 1 20
6 0 1 1 11
1 0 0 2 14
1 0 0 2 15
6 0 1 1 12
1 0 0 2 16
1 0 0 2 17
6 0 0 1 21
1 0 0 2 18
5 0 0 0 7
7 0 1 1 12
5 0 0 0 8
8 0 1 1 12
9 0 1 1 12
10 0 1 1 12
5 0 0 0 9
5 0 0 0 10
10 0 1 1 13
5 0 0 1 10
6 0 0 1 22
1 0 0 2 19
10 0 1 1 14
5 0 0 1 11
6 0 0 1 11
10 0 1 1 15
6 0 0 1 23
3 0 0 0 3
