0 0 0 0 1
0 0 0 0 2
0 0 0 0 3
0 0 0 0 4
0 0 0 0 5
0 0 0 0 6
0 0 0 0 7
1 0 0 0 0
1 0 0 0 1
1 0 0 0 2
1 0 0 0 3
1 0 0 0 4
1 0 0 0 5
1 0 0 0 6
1 0 0 0 7
1 0 0 0 8
1 0 0 1 7
1 0 0 1 8
1 0 0 1 9
1 0 0 1 10
1 0 0 1 11
1 0 0 1 12
1 0 0 1 13
1 0 0 2 13
1 0 0 2 14
1 0 0 2 15
1 0 0 2 16
1 0 0 2 17
1 0 0 2 18
1 0 0 2 19
1 0 1 0 0
2 0 0 0 1
2 0 0 0 2
2 0 0 0 4
2 0 0 0 6
2 0 0 0 7
2 0 0 1 7
2 0 0 1 8
2 0 0 1 9
2 0 0 2 7
2 0 0 2 8
2 0 0 2 9
2 0 0 2 10
2 0 0 2 11
2 0 0 2 12
2 0 0 2 19
2 0 0 2 20
2 0 0 2 21
2 0 0 2 22
2 0 0 2 23
2 0 1 0 0
2 0 1 0 1
2 0 1 0 2
2 0 1 0 3
2 0 1 0 4
2 0 1 0 5
2 0 1 0 6
3 0 0 0 2
3 0 0 0 3
3 0 0 0 4
3 0 0 0 5
3 0 0 0 6
3 0 0 1 9
3 0 0 2 12
3 0 0 2 23
3 0 0 2 24
3 0 0 2 25
3 0 0 3 12
3 0 1 0 6
3 0 1 0 7
3 0 1 1 7
4 0 0 0 5
4 0 0 0 6
4 0 0 0 7
4 0 0 1 9
4 0 0 2 25
4 0 0 3 12
4 0 0 3 25
4 0 0 3 26
4 0 1 1 7
5 0 0 0 6
5 0 0 0 7
5 0 0 0 8
5 0 0 0 9
5 0 0 0 10
5 0 0 1 9
5 0 0 1 10
5 0 0 1 11
5 0 0 1 12
5 0 0 1 13
5 0 0 1 14
5 0 0 3 12
5 0 0 3 13
5 0 0 3 14
5 0 0 3 15
5 0 0 3 16
5 0 0 3 26
5 0 0 3 27
5 0 0 3 28
5 0 0 3 29
5 0 0 3 30
5 0 0 3 31
5 0 0 3 32
5 0 1 1 7
5 0 1 1 8
5 0 1 1 9
5 0 1 1 10
6 0 0 0 8
6 0 0 0 9
6 0 0 0 10
6 0 0 0 11
6 0 0 1 11
6 0 0 1 12
6 0 0 1 13
6 0 0 1 14
6 0 0 1 15
6 0 0 1 16
6 0 0 1 17
6 0 0 1 18
6 0 0 1 19
6 0 0 1 20
6 0 0 1 21
6 0 0 1 22
6 0 0 1 23
6 0 0 3 16
6 0 0 3 17
6 0 0 3 32
6 0 1 1 10
6 0 1 1 11
6 0 1 1 12
7 0 0 0 11
7 0 0 0 12
7 0 0 0 13
7 0 0 0 14
7 0 0 0 15
7 0 0 1 13
7 0 0 1 15
7 0 0 1 23
7 0 0 1 24
7 0 0 3 17
7 0 0 3 32
7 0 0 3 33
7 0 0 3 34
7 0 0 3 35
7 0 0 3 36
7 0 0 3 37
7 0 0 3 38
7 0 1 1 12
8 0 0 1 13
8 0 0 1 14
8 0 0 1 15
8 0 0 1 24
8 0 0 1 25
8 0 0 1 26
8 0 0 1 27
8 0 0 1 28
8 0 0 2 15
8 0 0 3 17
8 0 0 3 18
8 0 0 3 19
8 0 0 3 20
8 0 0 3 21
8 0 0 3 38
8 0 0 3 39
8 0 1 1 12
9 0 0 1 15
9 0 0 1 16
9 0 0 1 28
9 0 0 1 29
9 0 0 1 30
9 0 0 2 15
9 0 0 2 16
9 0 0 2 17
9 0 0 2 18
9 0 0 2 19
9 0 0 2 30
9 0 0 2 31
9 0 0 2 32
9 0 0 3 21
9 0 0 3 39
9 0 0 4 21
9 0 0 4 22
9 0 0 4 23
9 0 0 4 24
9 0 0 4 25
9 0 0 4 26
9 0 1 1 12
10 0 0 1 16
10 0 0 1 17
10 0 0 1 18
10 0 0 1 19
10 0 0 1 20
10 0 0 2 19
10 0 0 2 32
10 0 0 2 33
10 0 0 2 34
10 0 0 2 35
10 0 0 2 36
10 0 0 2 37
10 0 0 2 38
10 0 0 2 39
10 0 0 2 40
10 0 0 2 41
10 0 0 3 39
10 0 0 3 40
10 0 0 3 41
10 0 0 4 26
10 0 1 1 12
10 0 1 1 13
10 0 1 1 14
10 0 1 1 15
11 0 0 1 20
11 0 0 1 21
11 0 0 1 22
11 0 0 1 23
11 0 0 2 19
11 0 0 2 41
11 0 0 2 42
11 0 0 3 41
11 0 0 3 42
11 0 0 4 26
11 0 0 4 27
11 0 0 4 28
11 0 0 4 29
11 0 1 1 15
12 0 0 1 23
12 0 0 2 19
12 0 0 2 20
12 0 0 2 21
12 0 0 2 42
12 0 0 3 42
12 0 0 3 43
12 0 0 3 44
12 0 0 3 45
12 0 0 3 46
12 0 0 3 47
12 0 0 3 48
12 0 0 3 49
12 0 0 3 50
12 0 0 3 51
12 0 0 4 29
12 0 0 4 30
12 0 0 4 31
